ADDRESS		INSTRUCTION
1		000_000_001_010_0_000		ADDITION
2		000_000_001_010_0_001   SUBTRACTION
3		000_000_011_100_1_010   SLL
4		000_000_011_100_1_011   SRL
5		000_010_011_110_0_100	  LOGICAL AND
6		000_010_011_110_0_101   LOGICAL OR
7		000_000_001_111_0_110   SLT
8		000_010_011_110_0_111   LOGICAL XOR


9		001_000_001_0000000     ADD IMEDIATE
10		010_010_011_0000001   LOAD WORD
11		011_010_011_0000010   STORE WORD
12		100_011_100_0000100   BRANCH ON EQUAL
13		101_011_100_0001000   BRANCH ON NOT EQUAL
14		100_111_000_0010000   BRANCH ON GREATER THAN 0


15		111_1111111111111   JUMP
